"role","oid_field","oid_code","label","audio_id","audio_file","placeholder_file","layout_hint"
"start","START","930","Anschaltfeld fuer TipTalk","tt_welcome","audio/ogg/tt_welcome.ogg","audio/placeholders/tt_welcome.placeholder","Dieses Feld muss auf dem Druckblatt vorhanden sein, damit der Stift das Produkt aktiviert."
"replay","REPLAY","12159","Letzte Ausgabe wiederholen","","","","Optionales Bedienfeld fuer Tests und finales Layout."
"stop","STOP","12158","Audio stoppen","","","","Optionales Bedienfeld fuer Tests und finales Layout."
"sentence","china_mandarin_01","11001","China / Mandarin / Satz 1","china_mandarin_01_hallo_wie_geht_es_dir","audio/ogg/china_mandarin_01_hallo_wie_geht_es_dir.ogg","audio/placeholders/china_mandarin_01_hallo_wie_geht_es_dir.placeholder","Bereich China, Satz 1"
"sentence","china_mandarin_02","11002","China / Mandarin / Satz 2","china_mandarin_02_wie_heisst_du","audio/ogg/china_mandarin_02_wie_heisst_du.ogg","audio/placeholders/china_mandarin_02_wie_heisst_du.placeholder","Bereich China, Satz 2"
"sentence","china_mandarin_03","11003","China / Mandarin / Satz 3","china_mandarin_03_schoene_augen","audio/ogg/china_mandarin_03_schoene_augen.ogg","audio/placeholders/china_mandarin_03_schoene_augen.placeholder","Bereich China, Satz 3"
"sentence","japan_japanese_01","11004","Japan / Japanisch / Satz 1","japan_japanese_01_hallo_wie_geht_es_dir","audio/ogg/japan_japanese_01_hallo_wie_geht_es_dir.ogg","audio/placeholders/japan_japanese_01_hallo_wie_geht_es_dir.placeholder","Bereich Japan, Satz 1"
"sentence","japan_japanese_02","11005","Japan / Japanisch / Satz 2","japan_japanese_02_wie_heisst_du","audio/ogg/japan_japanese_02_wie_heisst_du.ogg","audio/placeholders/japan_japanese_02_wie_heisst_du.placeholder","Bereich Japan, Satz 2"
"sentence","japan_japanese_03","11006","Japan / Japanisch / Satz 3","japan_japanese_03_schoene_augen","audio/ogg/japan_japanese_03_schoene_augen.ogg","audio/placeholders/japan_japanese_03_schoene_augen.placeholder","Bereich Japan, Satz 3"
"sentence","vietnam_vietnamese_01","11007","Vietnam / Vietnamesisch / Satz 1","vietnam_vietnamese_01_hallo_wie_geht_es_dir","audio/ogg/vietnam_vietnamese_01_hallo_wie_geht_es_dir.ogg","audio/placeholders/vietnam_vietnamese_01_hallo_wie_geht_es_dir.placeholder","Bereich Vietnam, Satz 1"
"sentence","vietnam_vietnamese_02","11008","Vietnam / Vietnamesisch / Satz 2","vietnam_vietnamese_02_wie_heisst_du","audio/ogg/vietnam_vietnamese_02_wie_heisst_du.ogg","audio/placeholders/vietnam_vietnamese_02_wie_heisst_du.placeholder","Bereich Vietnam, Satz 2"
"sentence","vietnam_vietnamese_03","11009","Vietnam / Vietnamesisch / Satz 3","vietnam_vietnamese_03_schoene_augen","audio/ogg/vietnam_vietnamese_03_schoene_augen.ogg","audio/placeholders/vietnam_vietnamese_03_schoene_augen.placeholder","Bereich Vietnam, Satz 3"
"sentence","south_korea_korean_01","11010","Suedkorea / Koreanisch / Satz 1","south_korea_korean_01_hallo_wie_geht_es_dir","audio/ogg/south_korea_korean_01_hallo_wie_geht_es_dir.ogg","audio/placeholders/south_korea_korean_01_hallo_wie_geht_es_dir.placeholder","Bereich Suedkorea, Satz 1"
"sentence","south_korea_korean_02","11011","Suedkorea / Koreanisch / Satz 2","south_korea_korean_02_wie_heisst_du","audio/ogg/south_korea_korean_02_wie_heisst_du.ogg","audio/placeholders/south_korea_korean_02_wie_heisst_du.placeholder","Bereich Suedkorea, Satz 2"
"sentence","south_korea_korean_03","11012","Suedkorea / Koreanisch / Satz 3","south_korea_korean_03_schoene_augen","audio/ogg/south_korea_korean_03_schoene_augen.ogg","audio/placeholders/south_korea_korean_03_schoene_augen.placeholder","Bereich Suedkorea, Satz 3"
"sentence","malaysia_malay_01","11013","Malaysia / Malaiisch / Satz 1","malaysia_malay_01_hallo_wie_geht_es_dir","audio/ogg/malaysia_malay_01_hallo_wie_geht_es_dir.ogg","audio/placeholders/malaysia_malay_01_hallo_wie_geht_es_dir.placeholder","Bereich Malaysia, Satz 1"
"sentence","malaysia_malay_02","11014","Malaysia / Malaiisch / Satz 2","malaysia_malay_02_wie_heisst_du","audio/ogg/malaysia_malay_02_wie_heisst_du.ogg","audio/placeholders/malaysia_malay_02_wie_heisst_du.placeholder","Bereich Malaysia, Satz 2"
"sentence","malaysia_malay_03","11015","Malaysia / Malaiisch / Satz 3","malaysia_malay_03_schoene_augen","audio/ogg/malaysia_malay_03_schoene_augen.ogg","audio/placeholders/malaysia_malay_03_schoene_augen.placeholder","Bereich Malaysia, Satz 3"
"sentence","thailand_thai_01","11016","Thailand / Thailaendisch / Satz 1","thailand_thai_01_hallo_wie_geht_es_dir","audio/ogg/thailand_thai_01_hallo_wie_geht_es_dir.ogg","audio/placeholders/thailand_thai_01_hallo_wie_geht_es_dir.placeholder","Bereich Thailand, Satz 1"
"sentence","thailand_thai_02","11017","Thailand / Thailaendisch / Satz 2","thailand_thai_02_wie_heisst_du","audio/ogg/thailand_thai_02_wie_heisst_du.ogg","audio/placeholders/thailand_thai_02_wie_heisst_du.placeholder","Bereich Thailand, Satz 2"
"sentence","thailand_thai_03","11018","Thailand / Thailaendisch / Satz 3","thailand_thai_03_schoene_augen","audio/ogg/thailand_thai_03_schoene_augen.ogg","audio/placeholders/thailand_thai_03_schoene_augen.placeholder","Bereich Thailand, Satz 3"
"sentence","saudi_arabia_arabic_01","11019","Saudi Arabien / Arabisch / Satz 1","saudi_arabia_arabic_01_hallo_wie_geht_es_dir","audio/ogg/saudi_arabia_arabic_01_hallo_wie_geht_es_dir.ogg","audio/placeholders/saudi_arabia_arabic_01_hallo_wie_geht_es_dir.placeholder","Bereich Saudi Arabien, Satz 1"
"sentence","saudi_arabia_arabic_02","11020","Saudi Arabien / Arabisch / Satz 2","saudi_arabia_arabic_02_wie_heisst_du","audio/ogg/saudi_arabia_arabic_02_wie_heisst_du.ogg","audio/placeholders/saudi_arabia_arabic_02_wie_heisst_du.placeholder","Bereich Saudi Arabien, Satz 2"
"sentence","saudi_arabia_arabic_03","11021","Saudi Arabien / Arabisch / Satz 3","saudi_arabia_arabic_03_schoene_augen","audio/ogg/saudi_arabia_arabic_03_schoene_augen.ogg","audio/placeholders/saudi_arabia_arabic_03_schoene_augen.placeholder","Bereich Saudi Arabien, Satz 3"
"sentence","cambodia_khmer_01","11022","Kambodscha / Khmer / Satz 1","cambodia_khmer_01_hallo_wie_geht_es_dir","audio/ogg/cambodia_khmer_01_hallo_wie_geht_es_dir.ogg","audio/placeholders/cambodia_khmer_01_hallo_wie_geht_es_dir.placeholder","Bereich Kambodscha, Satz 1"
"sentence","cambodia_khmer_02","11023","Kambodscha / Khmer / Satz 2","cambodia_khmer_02_wie_heisst_du","audio/ogg/cambodia_khmer_02_wie_heisst_du.ogg","audio/placeholders/cambodia_khmer_02_wie_heisst_du.placeholder","Bereich Kambodscha, Satz 2"
"sentence","cambodia_khmer_03","11024","Kambodscha / Khmer / Satz 3","cambodia_khmer_03_schoene_augen","audio/ogg/cambodia_khmer_03_schoene_augen.ogg","audio/placeholders/cambodia_khmer_03_schoene_augen.placeholder","Bereich Kambodscha, Satz 3"
"sentence","mongolia_mongolian_01","11025","Mongolei / Mongolisch / Satz 1","mongolia_mongolian_01_hallo_wie_geht_es_dir","audio/ogg/mongolia_mongolian_01_hallo_wie_geht_es_dir.ogg","audio/placeholders/mongolia_mongolian_01_hallo_wie_geht_es_dir.placeholder","Bereich Mongolei, Satz 1"
"sentence","mongolia_mongolian_02","11026","Mongolei / Mongolisch / Satz 2","mongolia_mongolian_02_wie_heisst_du","audio/ogg/mongolia_mongolian_02_wie_heisst_du.ogg","audio/placeholders/mongolia_mongolian_02_wie_heisst_du.placeholder","Bereich Mongolei, Satz 2"
"sentence","mongolia_mongolian_03","11027","Mongolei / Mongolisch / Satz 3","mongolia_mongolian_03_schoene_augen","audio/ogg/mongolia_mongolian_03_schoene_augen.ogg","audio/placeholders/mongolia_mongolian_03_schoene_augen.placeholder","Bereich Mongolei, Satz 3"
"sentence","philippines_tagalog_01","11028","Philippinen / Filipino Tagalog / Satz 1","philippines_tagalog_01_hallo_wie_geht_es_dir","audio/ogg/philippines_tagalog_01_hallo_wie_geht_es_dir.ogg","audio/placeholders/philippines_tagalog_01_hallo_wie_geht_es_dir.placeholder","Bereich Philippinen, Satz 1"
"sentence","philippines_tagalog_02","11029","Philippinen / Filipino Tagalog / Satz 2","philippines_tagalog_02_wie_heisst_du","audio/ogg/philippines_tagalog_02_wie_heisst_du.ogg","audio/placeholders/philippines_tagalog_02_wie_heisst_du.placeholder","Bereich Philippinen, Satz 2"
"sentence","philippines_tagalog_03","11030","Philippinen / Filipino Tagalog / Satz 3","philippines_tagalog_03_schoene_augen","audio/ogg/philippines_tagalog_03_schoene_augen.ogg","audio/placeholders/philippines_tagalog_03_schoene_augen.placeholder","Bereich Philippinen, Satz 3"
